nconst,primaryName,primaryProfession,knownForTitles
nm0651723,Paul Osborne,director,"tt0438486,tt5031388,tt10172522,tt0780577"
nm0654372,Grant Owens,actor,"tt9115530,tt0086730,tt0074301,tt10098448"
nm0658606,Renata Palminiello,actress,"tt10160976,tt22086474,tt10658248,tt10569934"
nm0672922,Sharon Percy,actress,"tt5168192,tt0368249,tt0451272,tt0108773"
nm0679102,Michèle Pezzin,actress,"tt1259014,tt0411272,tt1247640,tt10160976"
nm0691844,Guy Porritt,actor,"tt0053494,tt0267201,tt0787985,tt0451272"
nm0698464,Pavlina Proevska,director,"tt0368133,tt5062018,tt12183014,tt0236283"
nm0700323,Darío Pulgar,actor,"tt0232551,tt0070596,tt0066614,tt0065563"
nm0718672,Ethan Reitz,actor,"tt0811080,tt10210064,tt30444310,tt2767440"
nm0735271,Christine Rodriguez,actress,"tt0118688,tt0112216,tt0110657,tt10245072"
nm0735280,David R. Rodriguez,actor,"tt4012916,tt1356521,tt10212042,tt3295734"
nm0735404,Lucy Rodriguez,actress,"tt0114508,tt0108757,tt0106179,tt0762118"
nm0745751,Jonathan Roumie,actor,"tt5622316,tt10098448,tt13623880,tt4655480"
nm0764309,Zora Santos,actress,"tt12115032,tt0088906,tt10037498"
nm0766611,Anne Cathrine Sauerberg,actress,"tt29344903,tt3877674,tt10236164,tt0108193"
nm0773694,Allen Schneider,actor,"tt0105466,tt0164115,tt0103437"
nm0776885,Bragi F. Schut,director,"tt1001520,tt5500218,tt5886046,tt1871731"
nm0789575,Adam Shaw,actor,"tt1821694,tt0120815,tt4686844,tt1001520"
nm0794865,Brian Shoop,"actor,director","tt11280740,tt16358384,tt14269590,tt10098448"
nm0846559,Tom Taglang,actor,"tt0105698,tt0086734,tt0101073,tt0202523"
nm0849536,Adam Tankell,actor,"tt1517268,tt6443346,tt10151854,tt0258153"
nm0877583,Graham Turner,actor,"tt0332136,tt1001520,tt0820333,tt0154094"
nm0880885,Vivian Umino,director,"tt0413885,tt1442012,tt0226822,tt0122710"
nm0884452,José Luis Valenzuela,director,"tt0160498,tt0762118,tt1078601,tt0448903"
nm0890705,Mina Vasquez,actress,"tt0101862,tt0159404,tt0076993,tt0762118"
nm0893941,Maribel Verdú,actress,"tt0457430,tt0245574,tt0439572,tt1854513"
nm0896148,Rene Victor,actress,"tt0104119,tt0762118,tt0094763,tt0102849"
nm0896804,Susanne Vierkötter,actress,"tt0093191,tt1001520,tt0101458,tt0824758"
nm0934639,Patrick Winczewski,"director,actor","tt9376612,tt5950044,tt1371111,tt0439572"
nm0936228,Jesco Wirthgen,actor,"tt1951265,tt9376612,tt0439572,tt2180339"
nm0948622,Young Yoon,director,"tt0226822,tt0832290"
nm0949911,Nancy Young,actress,"tt11339514,tt3402138,tt10128846,tt1493274"
nm0992448,Benjamin Egner,actor,"tt10548174,tt0327785,tt6190050,tt4016454"
nm0996485,Corey Besner,actor,tt0287075
nm0996713,Kianha Daniels,actress,"tt0280229,tt0331770,tt0287075"
nm0996828,Marie Eve Blackburn,actress,tt0287075
nm0997691,Sandeep Panesar,actor,"tt0287075,tt0179558,tt7686528,tt0399200"
nm0998964,Danny Lawless,actor,tt0287075
nm0999041,Jordan Perlis,actor,tt0287075
nm10009128,Richard Curtis,actor,"tt3480822,tt1877830,tt8041270,tt0439572"
nm10016030,Attila Heltai,actor,"tt4978420,tt0327785,tt6486762,tt9883398"
nm1001651,George Peroulas,"actor,director","tt10151854,tt1663708,tt1018817,tt1350954"
nm10025942,Agnieszka Kulesza,actress,"tt29344903,tt13045486,tt10236164,tt32890186"
nm10053077,Hayley Gold,actress,"tt10223100,tt8852548,tt9809006"
nm10053078,Jacob Montgomery,actor,"tt10223100,tt8852548"
nm10053082,Simon Williamson,director,"tt12030822,tt10223100,tt11856884,tt1778360"
nm10055684,Darin Elie,actor,"tt0439572,tt8790086,tt9032400,tt10676048"
nm10072799,Bastian Antonio Fuentes,actor,"tt8041270,tt0439572,tt20355702,tt30406366"
nm10083754,Zachary Christopher,actor,"tt32916440,tt1896747,tt13651794,tt10128846"
nm10091331,Lily Gwynne-Thomas,director,"tt1877830,tt0439572,tt6806448,tt5433138"
nm10101603,Bridgette Michelle Bentley,actress,"tt29624330,tt36073926,tt10151854,tt25030660"
nm10107609,Roz Cornejo,actress,"tt10150634,tt8963048"
nm10112068,Jonás Torres,actor,"tt10127964,tt8480734,tt11853880,tt22175660"
